,Unnamed: 0,a,ab,b,c,pentamer,F,carbazole
10,47.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Brc1ccc2oc(Br)cc2c1,c1coc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2ccc3oc(-c4c(-c5ccco5)cccc4-n4c5ccccc5c5ccccc54)cc3c2)c1,Fc1cccc(-c2ccco2)c1-c1ccc2oc(-c3c(F)cccc3-c3ccco3)cc2c1,c1ccc2c(c1)[nH]c1ccccc12
11,48.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Brc1ccc(Br)o1,c1coc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2ccc(-c3c(-c4ccco4)cccc3-n3c4ccccc4c4ccccc43)o2)c1,Fc1cccc(-c2ccco2)c1-c1ccc(-c2c(F)cccc2-c2ccco2)o1,c1ccc2c(c1)[nH]c1ccccc12
12,49.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,c1coc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2cc(-c4c(-c5ccco5)cccc4-n4c5ccccc5c5ccccc54)ccc2-3)c1,Fc1cccc(-c2ccco2)c1-c1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(-c3c(F)cccc3-c3ccco3)ccc1-2,c1ccc2c(c1)[nH]c1ccccc12
13,50.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Clc1cc(Cl)c(Br)cc1Br,Clc1cc(Cl)c(-c2c(-c3ccco3)cccc2-n2c3ccccc3c3ccccc32)cc1-c1c(-c2ccco2)cccc1-n1c2ccccc2c2ccccc21,Fc1cccc(-c2ccco2)c1-c1cc(-c2c(F)cccc2-c2ccco2)c(Cl)cc1Cl,c1ccc2c(c1)[nH]c1ccccc12
14,51.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Brc1cnc2nc(Br)ccc2c1,c1coc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2cnc3nc(-c4c(-c5ccco5)cccc4-n4c5ccccc5c5ccccc54)ccc3c2)c1,Fc1cccc(-c2ccco2)c1-c1cnc2nc(-c3c(F)cccc3-c3ccco3)ccc2c1,c1ccc2c(c1)[nH]c1ccccc12
15,52.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Brc1cccc2cccc(Br)c12,c1coc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2cccc3cccc(-c4c(-c5ccco5)cccc4-n4c5ccccc5c5ccccc54)c23)c1,Fc1cccc(-c2ccco2)c1-c1cccc2cccc(-c3c(F)cccc3-c3ccco3)c12,c1ccc2c(c1)[nH]c1ccccc12
16,53.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(I)ccc2-c2ccc(I)cc21,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3c(-c4ccco4)cccc3-n3c4ccccc4c4ccccc43)ccc2-c2ccc(-c3c(-c4ccco4)cccc3-n3c4ccccc4c4ccccc43)cc21,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3c(F)cccc3-c3ccco3)ccc2-c2ccc(-c3c(F)cccc3-c3ccco3)cc21,c1ccc2c(c1)[nH]c1ccccc12
17,54.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Fc1c(F)c(Br)c2nsnc2c1Br,Fc1c(F)c(-c2c(-c3ccco3)cccc2-n2c3ccccc3c3ccccc32)c2nsnc2c1-c1c(-c2ccco2)cccc1-n1c2ccccc2c2ccccc21,Fc1cccc(-c2ccco2)c1-c1c(F)c(F)c(-c2c(F)cccc2-c2ccco2)c2nsnc12,c1ccc2c(c1)[nH]c1ccccc12
18,55.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,C[Si](C)(c1ccc(Br)cc1)c1ccc(Br)cc1,C[Si](C)(c1ccc(-c2c(-c3ccco3)cccc2-n2c3ccccc3c3ccccc32)cc1)c1ccc(-c2c(-c3ccco3)cccc2-n2c3ccccc3c3ccccc32)cc1,C[Si](C)(c1ccc(-c2c(F)cccc2-c2ccco2)cc1)c1ccc(-c2c(F)cccc2-c2ccco2)cc1,c1ccc2c(c1)[nH]c1ccccc12
19,56.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Brc1ccc2nc3ccc(Br)cc3nc2c1,c1coc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2ccc3nc4ccc(-c5c(-c6ccco6)cccc5-n5c6ccccc6c6ccccc65)cc4nc3c2)c1,Fc1cccc(-c2ccco2)c1-c1ccc2nc3ccc(-c4c(F)cccc4-c4ccco4)cc3nc2c1,c1ccc2c(c1)[nH]c1ccccc12
20,59.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccco3)cc1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,c1coc(-c2ccc(-c3cc(-n4c5ccccc5c5ccccc54)c(-c4ccc(-c5ccco5)cc4)cc3-n3c4ccccc4c4ccccc43)cc2)c1,Fc1cc(-c2ccc(-c3ccco3)cc2)c(F)cc1-c1ccc(-c2ccco2)cc1,c1ccc2c(c1)[nH]c1ccccc12
21,95.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,C[Si](C)(c1ccccc1Br)c1ccccc1Br,C[Si](C)(c1ccccc1-c1cccc(-c2ccco2)c1-n1c2ccccc2c2ccccc21)c1ccccc1-c1cccc(-c2ccco2)c1-n1c2ccccc2c2ccccc21,C[Si](C)(c1ccccc1-c1cccc(-c2ccco2)c1F)c1ccccc1-c1cccc(-c2ccco2)c1F,c1ccc2c(c1)[nH]c1ccccc12
22,96.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Brc1ccc(Br)nc1,c1coc(-c2cccc(-c3ccc(-c4cccc(-c5ccco5)c4-n4c5ccccc5c5ccccc54)nc3)c2-n2c3ccccc3c3ccccc32)c1,Fc1c(-c2ccc(-c3cccc(-c4ccco4)c3F)nc2)cccc1-c1ccco1,c1ccc2c(c1)[nH]c1ccccc12
23,97.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,c1coc(-c2cccc(-c3cc(-n4c5ccccc5c5ccccc54)c(-c4cccc(-c5ccco5)c4-n4c5ccccc5c5ccccc54)cc3-n3c4ccccc4c4ccccc43)c2-n2c3ccccc3c3ccccc32)c1,Fc1cc(-c2cccc(-c3ccco3)c2F)c(F)cc1-c1cccc(-c2ccco2)c1F,c1ccc2c(c1)[nH]c1ccccc12
24,98.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Brc1cc(Br)c2ccccc2c1,c1coc(-c2cccc(-c3cc(-c4cccc(-c5ccco5)c4-n4c5ccccc5c5ccccc54)c4ccccc4c3)c2-n2c3ccccc3c3ccccc32)c1,Fc1c(-c2cc(-c3cccc(-c4ccco4)c3F)c3ccccc3c2)cccc1-c1ccco1,c1ccc2c(c1)[nH]c1ccccc12
25,99.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Clc1cc(Br)sc1Br,Clc1cc(-c2cccc(-c3ccco3)c2-n2c3ccccc3c3ccccc32)sc1-c1cccc(-c2ccco2)c1-n1c2ccccc2c2ccccc21,Fc1c(-c2ccco2)cccc1-c1cc(Cl)c(-c2cccc(-c3ccco3)c2F)s1,c1ccc2c(c1)[nH]c1ccccc12
26,100.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Cc1nc2c(Br)c3nsnc3c(Br)c2nc1C,Cc1nc2c(-c3cccc(-c4ccco4)c3-n3c4ccccc4c4ccccc43)c3nsnc3c(-c3cccc(-c4ccco4)c3-n3c4ccccc4c4ccccc43)c2nc1C,Cc1nc2c(-c3cccc(-c4ccco4)c3F)c3nsnc3c(-c3cccc(-c4ccco4)c3F)c2nc1C,c1ccc2c(c1)[nH]c1ccccc12
27,101.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Brc1ccccc1Oc1ccccc1Br,c1coc(-c2cccc(-c3ccccc3Oc3ccccc3-c3cccc(-c4ccco4)c3-n3c4ccccc4c4ccccc43)c2-n2c3ccccc3c3ccccc32)c1,Fc1c(-c2ccco2)cccc1-c1ccccc1Oc1ccccc1-c1cccc(-c2ccco2)c1F,c1ccc2c(c1)[nH]c1ccccc12
28,102.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,CC(C)(C)c1ccc2c(Br)c3ccccc3c(Br)c2c1,CC(C)(C)c1ccc2c(-c3cccc(-c4ccco4)c3-n3c4ccccc4c4ccccc43)c3ccccc3c(-c3cccc(-c4ccco4)c3-n3c4ccccc4c4ccccc43)c2c1,CC(C)(C)c1ccc2c(-c3cccc(-c4ccco4)c3F)c3ccccc3c(-c3cccc(-c4ccco4)c3F)c2c1,c1ccc2c(c1)[nH]c1ccccc12
29,103.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,Fc1cc(-c2cccc(-c3ccco3)c2-n2c3ccccc3c3ccccc32)c(F)cc1-c1cccc(-c2ccco2)c1-n1c2ccccc2c2ccccc21,Fc1cc(-c2cccc(-c3ccco3)c2F)c(F)cc1-c1cccc(-c2ccco2)c1F,c1ccc2c(c1)[nH]c1ccccc12
30,104.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Brc1ccc2oc(Br)cc2c1,c1coc(-c2cccc(-c3ccc4oc(-c5cccc(-c6ccco6)c5-n5c6ccccc6c6ccccc65)cc4c3)c2-n2c3ccccc3c3ccccc32)c1,Fc1c(-c2ccc3oc(-c4cccc(-c5ccco5)c4F)cc3c2)cccc1-c1ccco1,c1ccc2c(c1)[nH]c1ccccc12
31,105.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Brc1ccc(Br)o1,c1coc(-c2cccc(-c3ccc(-c4cccc(-c5ccco5)c4-n4c5ccccc5c5ccccc54)o3)c2-n2c3ccccc3c3ccccc32)c1,Fc1c(-c2ccco2)cccc1-c1ccc(-c2cccc(-c3ccco3)c2F)o1,c1ccc2c(c1)[nH]c1ccccc12
32,106.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,c1coc(-c2cccc(-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5cccc(-c6ccco6)c5-n5c6ccccc6c6ccccc65)ccc3-4)c2-n2c3ccccc3c3ccccc32)c1,Fc1c(-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2cc(-c4cccc(-c5ccco5)c4F)ccc2-3)cccc1-c1ccco1,c1ccc2c(c1)[nH]c1ccccc12
33,107.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Clc1cc(Cl)c(Br)cc1Br,Clc1cc(Cl)c(-c2cccc(-c3ccco3)c2-n2c3ccccc3c3ccccc32)cc1-c1cccc(-c2ccco2)c1-n1c2ccccc2c2ccccc21,Fc1c(-c2ccco2)cccc1-c1cc(-c2cccc(-c3ccco3)c2F)c(Cl)cc1Cl,c1ccc2c(c1)[nH]c1ccccc12
34,108.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Brc1cnc2nc(Br)ccc2c1,c1coc(-c2cccc(-c3cnc4nc(-c5cccc(-c6ccco6)c5-n5c6ccccc6c6ccccc65)ccc4c3)c2-n2c3ccccc3c3ccccc32)c1,Fc1c(-c2cnc3nc(-c4cccc(-c5ccco5)c4F)ccc3c2)cccc1-c1ccco1,c1ccc2c(c1)[nH]c1ccccc12
35,109.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Brc1cccc2cccc(Br)c12,c1coc(-c2cccc(-c3cccc4cccc(-c5cccc(-c6ccco6)c5-n5c6ccccc6c6ccccc65)c34)c2-n2c3ccccc3c3ccccc32)c1,Fc1c(-c2ccco2)cccc1-c1cccc2cccc(-c3cccc(-c4ccco4)c3F)c12,c1ccc2c(c1)[nH]c1ccccc12
36,110.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(I)ccc2-c2ccc(I)cc21,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3cccc(-c4ccco4)c3-n3c4ccccc4c4ccccc43)ccc2-c2ccc(-c3cccc(-c4ccco4)c3-n3c4ccccc4c4ccccc43)cc21,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3cccc(-c4ccco4)c3F)ccc2-c2ccc(-c3cccc(-c4ccco4)c3F)cc21,c1ccc2c(c1)[nH]c1ccccc12
37,111.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Fc1c(F)c(Br)c2nsnc2c1Br,Fc1c(F)c(-c2cccc(-c3ccco3)c2-n2c3ccccc3c3ccccc32)c2nsnc2c1-c1cccc(-c2ccco2)c1-n1c2ccccc2c2ccccc21,Fc1c(-c2ccco2)cccc1-c1c(F)c(F)c(-c2cccc(-c3ccco3)c2F)c2nsnc12,c1ccc2c(c1)[nH]c1ccccc12
38,112.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,C[Si](C)(c1ccc(Br)cc1)c1ccc(Br)cc1,C[Si](C)(c1ccc(-c2cccc(-c3ccco3)c2-n2c3ccccc3c3ccccc32)cc1)c1ccc(-c2cccc(-c3ccco3)c2-n2c3ccccc3c3ccccc32)cc1,C[Si](C)(c1ccc(-c2cccc(-c3ccco3)c2F)cc1)c1ccc(-c2cccc(-c3ccco3)c2F)cc1,c1ccc2c(c1)[nH]c1ccccc12
39,113.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Brc1ccc2nc3ccc(Br)cc3nc2c1,c1coc(-c2cccc(-c3ccc4nc5ccc(-c6cccc(-c7ccco7)c6-n6c7ccccc7c7ccccc76)cc5nc4c3)c2-n2c3ccccc3c3ccccc32)c1,Fc1c(-c2ccc3nc4ccc(-c5cccc(-c6ccco6)c5F)cc4nc3c2)cccc1-c1ccco1,c1ccc2c(c1)[nH]c1ccccc12
40,135.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,Fc1cccc(-c2ccco2)c1-c1cc(-n2c3ccccc3c3ccccc32)c(-c2c(F)cccc2-c2ccco2)cc1-n1c2ccccc2c2ccccc21,Fc1cc(-c2c(F)cccc2-c2ccco2)c(F)cc1-c1c(F)cccc1-c1ccco1,c1ccc2c(c1)[nH]c1ccccc12
41,154.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,Fc1c(-c2ccco2)cccc1-c1cc(-n2c3ccccc3c3ccccc32)c(-c2cccc(-c3ccco3)c2F)cc1-n1c2ccccc2c2ccccc21,Fc1cc(-c2cccc(-c3ccco3)c2F)c(F)cc1-c1cccc(-c2ccco2)c1F,c1ccc2c(c1)[nH]c1ccccc12
42,173.0,OB(O)c1ccco1,Cn1ncc(-c2ccco2)c1[B-]12OC(=O)C[N+]1(C)CC(=O)O2,Cn1ncc(Br)c1[B-]12OC(=O)C[N+]1(C)CC(=O)O2,Fc1cc(Br)c(F)cc1Br,Cn1ncc(-c2ccco2)c1-c1cc(-n2c3ccccc3c3ccccc32)c(-c2c(-c3ccco3)cnn2C)cc1-n1c2ccccc2c2ccccc21,Cn1ncc(-c2ccco2)c1-c1cc(F)c(-c2c(-c3ccco3)cnn2C)cc1F,c1ccc2c(c1)[nH]c1ccccc12
43,192.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,c1cc(-c2ccco2)cc(-c2cc(-n3c4ccccc4c4ccccc43)c(-c3cccc(-c4ccco4)c3)cc2-n2c3ccccc3c3ccccc32)c1,Fc1cc(-c2cccc(-c3ccco3)c2)c(F)cc1-c1cccc(-c2ccco2)c1,c1ccc2c(c1)[nH]c1ccccc12
44,211.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccco3)s1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1ccc(Br)s1)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,c1coc(-c2ccc(-c3cc(-n4c5ccccc5c5ccccc54)c(-c4ccc(-c5ccco5)s4)cc3-n3c4ccccc4c4ccccc43)s2)c1,Fc1cc(-c2ccc(-c3ccco3)s2)c(F)cc1-c1ccc(-c2ccco2)s1,c1ccc2c(c1)[nH]c1ccccc12
45,230.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccccc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1ccccc1Br)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,c1coc(-c2ccccc2-c2cc(-n3c4ccccc4c4ccccc43)c(-c3ccccc3-c3ccco3)cc2-n2c3ccccc3c3ccccc32)c1,Fc1cc(-c2ccccc2-c2ccco2)c(F)cc1-c1ccccc1-c1ccco1,c1ccc2c(c1)[nH]c1ccccc12
46,249.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cc3cc(-c4ccco4)ccc3o1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cc3cc(Br)ccc3o1)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,c1coc(-c2ccc3oc(-c4cc(-n5c6ccccc6c6ccccc65)c(-c5cc6cc(-c7ccco7)ccc6o5)cc4-n4c5ccccc5c5ccccc54)cc3c2)c1,Fc1cc(-c2cc3cc(-c4ccco4)ccc3o2)c(F)cc1-c1cc2cc(-c3ccco3)ccc2o1,c1ccc2c(c1)[nH]c1ccccc12
47,287.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1sccc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,c1coc(-c2ccsc2-c2cc(-n3c4ccccc4c4ccccc43)c(-c3sccc3-c3ccco3)cc2-n2c3ccccc3c3ccccc32)c1,Fc1cc(-c2sccc2-c2ccco2)c(F)cc1-c1sccc1-c1ccco1,c1ccc2c(c1)[nH]c1ccccc12
48,306.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cc(-c3ccco3)cc(C(F)(F)F)c1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cc(I)cc(C(F)(F)F)c1)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,FC(F)(F)c1cc(-c2ccco2)cc(-c2cc(-n3c4ccccc4c4ccccc43)c(-c3cc(-c4ccco4)cc(C(F)(F)F)c3)cc2-n2c3ccccc3c3ccccc32)c1,Fc1cc(-c2cc(-c3ccco3)cc(C(F)(F)F)c2)c(F)cc1-c1cc(-c2ccco2)cc(C(F)(F)F)c1,c1ccc2c(c1)[nH]c1ccccc12
49,648.0,CSc1cncc(B(O)O)c1,CSc1cncc(-c2ncccc2[B-]23OC(=O)C[N+]2(C)CC(=O)O3)c1,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,CSc1cncc(-c2ncccc2-c2cc(-n3c4ccccc4c4ccccc43)c(-c3cccnc3-c3cncc(SC)c3)cc2-n2c3ccccc3c3ccccc32)c1,CSc1cncc(-c2ncccc2-c2cc(F)c(-c3cccnc3-c3cncc(SC)c3)cc2F)c1,c1ccc2c(c1)[nH]c1ccccc12
50,684.0,CSc1cncc(B(O)O)c1,CSc1cncc(-c2cccc(F)c2[B-]23OC(=O)C[N+]2(C)CC(=O)O3)c1,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,C[Si](C)(c1ccccc1Br)c1ccccc1Br,CSc1cncc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2ccccc2[Si](C)(C)c2ccccc2-c2c(-c3cncc(SC)c3)cccc2-n2c3ccccc3c3ccccc32)c1,CSc1cncc(-c2cccc(F)c2-c2ccccc2[Si](C)(C)c2ccccc2-c2c(F)cccc2-c2cncc(SC)c2)c1,c1ccc2c(c1)[nH]c1ccccc12
51,685.0,CSc1cncc(B(O)O)c1,CSc1cncc(-c2cccc(F)c2[B-]23OC(=O)C[N+]2(C)CC(=O)O3)c1,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Brc1ccc(Br)nc1,CSc1cncc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2ccc(-c3c(-c4cncc(SC)c4)cccc3-n3c4ccccc4c4ccccc43)nc2)c1,CSc1cncc(-c2cccc(F)c2-c2ccc(-c3c(F)cccc3-c3cncc(SC)c3)nc2)c1,c1ccc2c(c1)[nH]c1ccccc12
52,686.0,CSc1cncc(B(O)O)c1,CSc1cncc(-c2cccc(F)c2[B-]23OC(=O)C[N+]2(C)CC(=O)O3)c1,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,CSc1cncc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2cc(-n3c4ccccc4c4ccccc43)c(-c3c(-c4cncc(SC)c4)cccc3-n3c4ccccc4c4ccccc43)cc2-n2c3ccccc3c3ccccc32)c1,CSc1cncc(-c2cccc(F)c2-c2cc(F)c(-c3c(F)cccc3-c3cncc(SC)c3)cc2F)c1,c1ccc2c(c1)[nH]c1ccccc12
53,687.0,CSc1cncc(B(O)O)c1,CSc1cncc(-c2cccc(F)c2[B-]23OC(=O)C[N+]2(C)CC(=O)O3)c1,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Brc1cc(Br)c2ccccc2c1,CSc1cncc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2cc(-c3c(-c4cncc(SC)c4)cccc3-n3c4ccccc4c4ccccc43)c3ccccc3c2)c1,CSc1cncc(-c2cccc(F)c2-c2cc(-c3c(F)cccc3-c3cncc(SC)c3)c3ccccc3c2)c1,c1ccc2c(c1)[nH]c1ccccc12
54,688.0,CSc1cncc(B(O)O)c1,CSc1cncc(-c2cccc(F)c2[B-]23OC(=O)C[N+]2(C)CC(=O)O3)c1,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Clc1cc(Br)sc1Br,CSc1cncc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2cc(Cl)c(-c3c(-c4cncc(SC)c4)cccc3-n3c4ccccc4c4ccccc43)s2)c1,CSc1cncc(-c2cccc(F)c2-c2cc(Cl)c(-c3c(F)cccc3-c3cncc(SC)c3)s2)c1,c1ccc2c(c1)[nH]c1ccccc12
